code,name,credits
CS101,Programming Fundamentals,3
CS102,Object-Oriented Programming,3
CS201,Data Structures and Algorithms,3
CS202,Discrete Mathematics,3
CS301,Advanced Algorithms,3
CS302,Database Systems,3
CS303,Computer Networks,3
CS401,Software Engineering,3
CS402,Web Development,3
CS403,Mobile Application Development,3
CS404,Artificial Intelligence,3
CS405,Machine Learning,3
MATH101,Calculus I,4
MATH201,Calculus II,4
MATH301,Linear Algebra,3
ENG101,English Composition,3
ENG201,Technical Writing,3
SCI101,General Science,4
PHY101,Physics I,4
HUM101,Humanities Elective,3
